Product Name,Date,Cults Link,Thangs Link,Image,Lamp,Apple Accessories,IKEA SKADIS,Space Organiser
Vortex Spiral Fidget Desk Lamp らせんじょう,2024-09-12,https://cults3d.com/en/3d-model/home/vortex-spiral-fidget-desk-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Vortex%20Spiral%20Fidget%20Desk%20Lamp%20%E3%82%89%E3%81%9B%E3%82%93%E3%81%98%E3%82%87%E3%81%86-1174045,25.jpg,Yes,No,No,No
Esc Key Cap Lamp,2024-09-19,https://cults3d.com/en/3d-model/home/esc-key-cap-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Esc%20Keycap%20Lamp_base-1174092,26.jpg,Yes,No,No,No
80s retro desklamp with MagSafe charger,2024-09-30,https://cults3d.com/en/3d-model/home/80s-retro-desklamp-with-mac-charger,https://thangs.com/designer/Jer_Ho/3d-model/80s%20retro%20desklamp%20with%20mac%20charger-1147962,27.jpg,Yes,No,No,Yes
MagSafe Charger with Cable Storage,2024-10-03,https://cults3d.com/en/3d-model/gadget/123-jerh-3,No,28.jpg,No,No,No,Yes
Vintage Music Records Lamp,2024-10-11,https://cults3d.com/en/3d-model/home/vintage-music-records-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Vintage%20Music%20Records%20Lamp-1157145,29.jpg,Yes,No,No,No
Minimal mixed texture desk lamp,2024-10-15,https://cults3d.com/en/3d-model/home/minimal-mixed-texture-desk-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Minimal%20mixed%20texture%20desk%20lamp-1174098,30.jpg,Yes,No,No,No
Minimal mesh lamp - woody,2024-10-24,https://cults3d.com/en/3d-model/home/minimal-mesh-lamp-woody-jerh,https://thangs.com/designer/Jer_Ho/3d-model/minimal%20mesh%20lamp%20woody-1174101,31.jpg,Yes,No,No,No
Minimal Mesh Gaming Console Stand,2024-10-29,https://cults3d.com/en/3d-model/home/minimal-mesh-gaming-console-stand,No,32.jpg,No,No,No,No
Minimal tiny mushroom desk lamp,2024-11-04,https://cults3d.com/en/3d-model/home/minimal-tiny-mushroom-desk-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Minimal%20tiny%20mushroom%20desk%20lamp-1174102,33.jpg,Yes,No,No,No
IKEA SKADIS Figure Display Shelf,2024-11-08,https://cults3d.com/en/3d-model/home/ikea-skadis-figure-display-shelf,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20Figure%20Display%20Shelf-1174103,34.jpg,No,No,Yes,No
IKEA SKADIS Minimal Pendant Light,2024-11-12,https://cults3d.com/en/3d-model/home/ikea-skadis-minimal-pendant-light,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20minimal%20pendant%20light-1179392,35.jpg,Yes,No,Yes,No
IKEA SKAIDS Tray set,2024-11-21,https://cults3d.com/en/3d-model/home/ikea-skaids-tray-set,https://thangs.com/designer/Jer_Ho/3d-model/Minimal%20Tray%20Set-1118252,36.jpg,No,No,Yes,No
IKEA SKADIS accessories set Vol.1,2024-11-22,https://cults3d.com/en/3d-model/home/ikea-skadis-accessories-set,https://thangs.com/designer/Jer_Ho/3d-model/20241101_%20IKEA%20SKADIS%20minimal%20tray_stand.stl-1220423,37.jpg,No,No,Yes,No
Sunset Wave Desk Lamp,2024-12-05,https://cults3d.com/en/3d-model/home/sunset-wave-desk-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Sunset%20Wave%20Desk%20Lamp-1220431,38.jpg,Yes,No,No,No
Retro Records Player Charging Station (for iPhone & Apple Watch),2024-12-10,https://cults3d.com/en/3d-model/home/retro-records-player-charging-station-for-iphone-apple-watch,https://thangs.com/designer/Jer_Ho/3d-model/Record%20player%20charging%20station%20%28iPhone%20MagSafe%20%26%20Apple%20Watch%29-1220434,39.jpg,No,Yes,No,Yes
Minimal Desk Lamp Ripple,2024-12-20,https://cults3d.com/en/3d-model/home/minimal-desk-lamp-ripple,https://thangs.com/designer/Jer_Ho/3d-model/20241217%20-minimal%20desk%20lamp%20ripple-base.stl-1226067,40.jpg,Yes,No,No,No
Egg Capsule for Tiny Toys,2024-12-22,https://cults3d.com/en/3d-model/game/egg-capsule-for-tiny-toys-jerh,https://thangs.com/designer/Jer_Ho/3d-model/20241223%20-%20%20egg%20capsule%20for%20tiny%20toys_bottom.stl-1231654,41.jpg,No,No,No,No
IKEA SKADIS Hexagon Storage Kit,2024-12-27,https://cults3d.com/en/3d-model/home/ikea-skadis-hexagon-storage-kit-jerh-2,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20Hexagon%20Storage%20Kit-1233328,42.jpg,No,No,Yes,Yes
Giant Cross Tray,2024-12-29,https://cults3d.com/en/3d-model/home/giant-cross-tray,https://thangs.com/designer/Jer_Ho/3d-model/Giant%20Cross%20Tray-1237546,43.jpg,No,No,No,Yes
IKEA SKADIS hexagon storage box with lids,2025-01-20,https://cults3d.com/en/3d-model/home/ikea-skadis-hexagon-storage-box-with-lids,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20hexagon%20storage%20box%20with%20lids-1252045,44.jpg,No,No,Yes,Yes
IKEA SKADIS Glasses holder,2025-01-17,https://cults3d.com/en/3d-model/home/ikea-skadis-glasses-holder-jerh,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20glasses%20holder-1247199,45.jpg,No,No,Yes,Yes
Multifunction minimal lamp,2025-01-10,https://cults3d.com/en/3d-model/home/multifunction-minimal-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Multifunction%20minimal%20lamp-1239056,46.jpg,Yes,No,No,No
Squid Game Stone Game Kit,2024-12-30,https://cults3d.com/en/3d-model/game/squid-game-stone-game-kit-jerh-2,No,47.jpg,No,No,No,No
IKEA SKADIS Accessories Kit Vol.2,2025-01-24,https://cults3d.com/en/3d-model/home/ikea-skadis-accessories-kit-vol-2-jerh,No,48.jpg,No,No,Yes,Yes
Modern Multi-layered Lamp,2025-01-29,https://cults3d.com/en/3d-model/home/modern-multi-layered-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Multi%20Layer%20Lamp-1254588,49.jpg,Yes,No,No,No
IKEA SKADIS Modular Cable Management System,2025-02-07,https://cults3d.com/en/3d-model/home/ikea-skadis-modular-cable-management-system,https://thangs.com/designer/Jer_Ho/3d-model/%20IKEA%20SKADIS%20Modular%20Cable%20Management%20System-1259207,50.jpg,No,No,Yes,Yes
Mini Bed Lamp Combo,2025-02-16,https://cults3d.com/en/3d-model/home/mini-bed-lamp-combo,https://thangs.com/designer/Jer_Ho/3d-model/mini%20bed%20lamp%20combo-1269426,51.jpg,Yes,No,No,No
Gacha / box toys modular display shelf,2025-02-21,https://cults3d.com/en/3d-model/home/gacha-box-toys-modular-display-shelf,No,52.jpg,No,No,No,No
IKEA SKADIS MagSafe Charger,2025-03-07,https://cults3d.com/en/3d-model/home/ikea-skadis-magsafe-charger,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20MagSafe%20charger%20-1289092,53.jpg,No,Yes,Yes,No
IKEA SKADIS Accessories Kit Vol.3,2025-03-09,https://cults3d.com/en/3d-model/home/ikea-skadis-accessories-kit-vol-3,No,54.jpg,No,No,Yes,No
IKEA SKADIS TOY DISPLAY BOXES,2025-03-14,https://cults3d.com/en/3d-model/home/ikea-skadis-toy-display-boxes,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20TOY%20DISPLAY%20BOXES%20-1289355,55.jpg,No,No,Yes,No
IKEA SKADIS Portable Tool Tote,2025-03-31,https://cults3d.com/en/3d-model/home/ikea-skadis-portable-tool-tote,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKADIS%20Portable%20Tool%20Tote-1302453,56.jpg,No,No,Yes,Yes
Vintage mosaic lamp,2025-04-08,https://cults3d.com/en/3d-model/home/vintage-mosaic-lamp,https://thangs.com/designer/Jer_Ho/3d-model/Vintage%20mosaic%20lamp%20-1305327,57.jpg,Yes,No,No,No
IKEA skadis extentsion boxes,2025-04-15,https://cults3d.com/en/3d-model/home/ikea-skadis-extentsion-boxes,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20skadis%20extentsion%20boxes-1309134,58.jpg,No,No,Yes,Yes
Retro Pie Chart storage set,2025-04-22,https://cults3d.com/en/3d-model/home/retro-pie-chart-storage-set-jerh-2,https://thangs.com/designer/Jer_Ho/3d-model/Retro%20Pie%20Chart%20storage%20set-1314357,59.jpg,No,No,No, Yes
"IKEA SKÅDIS Accessories Basic Set – Trays, Hooks & Ring Tool Mount",2025-04-28,https://cults3d.com/en/3d-model/home/ikea-skadis-accessories-basic-set-trays-hooks-ring-tool-mount,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SK%C3%85DIS%20Accessories%20Basic%20Set%20%E2%80%93%20Trays%2C%20Hooks%20%26%20Ring%20Tool%20Mount-1322370,60.jpg,No,No,Yes,Yes
Futuristic Grenade Lamp – Sci-Fi Inspired LED Light with Honeycomb Diffuser,2025-05-05,https://cults3d.com/en/3d-model/home/futuristic-grenade-lamp-sci-fi-inspired-led-light-with-honeycomb-diffuser,https://thangs.com/designer/Jer_Ho/3d-model/Futuristic%20Grenade%20Lamp%20%E2%80%93%20Sci-Fi%20Inspired%20LED%20Light%20with%20Honeycomb%20Diffuser-1328259,61.jpg,Yes,No,No,No
IKEA SKADIS EARPHONE HOLDER WITH STORAGE,2025-05-12,https://cults3d.com/en/3d-model/home/ikea-skadis-earphone-holder-with-storage,https://thangs.com/designer/Jer_Ho/3d-model/20250605%20-%20IKEA%20SKADIS%20EARPHONE%20HOLDER%20WITH%20STORAGE_backplate.stlIKEA%20SKÅDIS%20Earphone%20Holder%20with%20Hi-1331174,62.jpg,No,Yes,Yes,Yes
IKEA SKADIS Desktop Storage Set,2025-05-26,https://cults3d.com/en/3d-model/home/ikea-skadis-desktop-storage-set,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SK%C3%85DIS%20Desktop%20Storage%20Set%20%E2%80%93%20Modular%20Desk%20Organizer%20with%20Pegboard%20System-1343137,63.jpg,No,Yes,Yes,Yes
KEA SKÅDIS Tilted Drawers & Tray Combo,2025-06-03,https://cults3d.com/en/3d-model/home/ikea-skadis-tilted-drawers-tray-combo-modular-ergonomic-pegboard-organizer,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SK%C3%85DIS%20Tilted%20Drawers%20%26%20Tray%20Combo%20%E2%80%93%20Modular%20Ergonomic%20Pegboard%20Organizer-1352348,64.jpg,No,No,Yes,Yes
IKEA SKÅDIS Adjustable Action Figure Stand,2025-06-10,https://cults3d.com/en/3d-model/home/ikea-skadis-adjustable-action-figure-stand-modular-display-system-jerh,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20SKÅDIS%20Adjustable%20Action%20Figure%20Stand%20–%20Modular%20Display%20System-1357335,65.jpg,No,No,Yes,No
IKEA Skadis Rotatable Pegboard Storage System,2025-06-22,https://cults3d.com/en/3d-model/home/ikea-skadis-rotatable-pegboard-storage-system-modular-4-sided-organizer-with-i,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%20Skadis%20Rotatable%20Pegboard%20Storage%20System%20Modular%204-Sided%20Organizer%20with%20Internal%20Storage%20Tote%20-1363996,66.jpg,No,No,Yes,Yes
HookForm Modular Rotating Hook Display System,2025-06-30,https://cults3d.com/en/3d-model/home/hookform-modular-rotating-hook-display-system-customizable-wall-mount-rack-for,https://thangs.com/designer/Jer_Ho/3d-model/HookForm%20Modular%20Rotating%20Hook%20Display%20System%20%E2%80%93%20Customizable%20Wall-Mount%20Rack%20for%20Collectibles%20%26%20Desk-1368128,67.jpg,No,No,No,Yes
FlexFold Minimalist Snap Tray,2025-06-07,https://cults3d.com/en/3d-model/home/flexfold-minimalist-snap-tray-jerh,https://thangs.com/designer/Jer_Ho/3d-model/FlexFold%20Minimalist%20Snap%20Tray%20%E2%80%93%20Ultra-Lightweight%203D%20Printed%20Catch-All%20Organizer-1370211,68.jpeg,No,No,No,Yes
IKEA Skadis Hook-Based Display System,2025-07-21,https://cults3d.com/en/3d-model/home/ikea-skadis-hook-based-display-system-modular-sliding-clip-organizer,https://thangs.com/designer/Jer_Ho/3d-model/IKEA%2520Skadis%2520Hook-Based%2520Display%2520System%2520%E2%80%93%2520Modular%2520Sliding%2520Clip%2520Organizer-1383684,69.jpg,No,No,Yes,Yes
BENTO-STYLE MODULAR STORAGE BOX,2025-07-27,https://cults3d.com/en/3d-model/home/bento-style-modular-storage-box-with-customizable-dividers,https://thangs.com/designer/Jer_Ho/3d-model/Bento-Style%20Modular%20Storage%20Box%20with%20Customizable%20Dividers-1387525,70.jpg,No,No,No,Yes
